Machine_ID,Machine_Type,Operating_Hours,Ambient_Temperature (°C),Vibration_Level (mm/s),Maintenance_Overdue (days),Tool_Wear (mm),Error_Code,Failure
M009,Lathe,1455,29,6.8,11,0.2,E101,False
M009,Grinder,2139,23,5.9,15,0.06,E305,False
M003,Grinder,2330,30,3.8,45,0.12,E202,True
M008,Milling,2720,29,6.6,18,0.16,E404,False
M002,Grinder,1767,30,9.0,24,0.19,E501,True
M009,Grinder,3010,24,6.4,59,0.12,E501,True
M006,Lathe,2082,29,4.3,50,0.07,E501,True
M008,Router,1263,29,4.6,20,0.11,E501,False
M010,Router,1896,31,7.8,20,0.11,E202,True
M008,Milling,3116,28,8.2,35,0.13,E501,False
M001,Milling,1462,23,5.4,10,0.1,E404,True
M005,Lathe,2313,26,6.8,8,0.08,E305,True
M009,Router,1272,30,3.9,24,0.08,E501,False
M004,Lathe,1244,31,5.0,44,0.22,E101,True
M008,Lathe,863,25,5.5,16,0.21,E305,True
M001,Milling,2408,26,8.0,52,0.15,E101,True
M010,Milling,2105,25,4.2,12,0.15,E101,True
M006,Router,2554,24,7.3,40,0.15,E305,True
M004,Grinder,2291,22,6.6,37,0.08,E101,False
M007,Milling,2839,25,4.9,57,0.13,E501,True
M004,Lathe,1047,26,6.2,10,0.17,E202,False
M003,Grinder,2000,24,7.9,56,0.16,E101,True
M003,Router,1760,23,6.4,5,0.14,E404,True
M005,Router,1344,30,6.2,57,0.14,E404,False
M004,Lathe,878,25,6.1,59,0.18,E101,True
M009,Lathe,1467,30,7.5,46,0.19,E404,True
M009,Grinder,2404,26,7.9,12,0.08,E101,True
M004,Lathe,1148,30,9.0,35,0.17,E501,True
M003,Router,1945,25,6.4,30,0.19,E202,False
M003,Grinder,2264,30,3.9,32,0.18,E305,False
M006,Router,1504,29,5.9,60,0.09,E202,False
M009,Lathe,1855,25,4.4,43,0.17,E404,False
M001,Milling,1319,31,7.1,54,0.16,E404,True
M007,Lathe,2349,30,4.3,25,0.1,E501,True
M003,Milling,1219,24,4.1,58,0.22,E501,True
M008,Lathe,831,31,8.2,37,0.15,E305,True
M009,Milling,947,22,7.5,50,0.21,E101,False
M002,Router,907,22,3.8,52,0.06,E202,False
M010,Lathe,3192,29,7.2,59,0.17,E305,False
M005,Milling,1507,28,7.1,10,0.21,E404,False
M009,Milling,3200,24,5.2,22,0.17,E404,False
M002,Router,980,30,7.8,38,0.11,E305,False
M001,Grinder,3180,28,6.7,52,0.15,E101,False
M005,Milling,2283,27,7.2,31,0.11,E101,True
M005,Grinder,911,25,7.1,33,0.11,E305,True
M010,Router,2468,29,7.6,17,0.05,E305,False
M003,Milling,1205,27,3.8,12,0.06,E101,False
M004,Router,2804,25,6.8,26,0.09,E202,True
M003,Router,1190,31,4.4,25,0.12,E305,True
M002,Grinder,3173,26,4.2,22,0.11,E404,True
M009,Milling,1528,29,7.9,4,0.17,E404,True
M005,Milling,989,26,9.1,32,0.07,E501,True
M001,Router,992,30,8.6,48,0.19,E404,False
M010,Milling,2364,23,8.3,58,0.1,E404,True
M001,Milling,1760,24,6.5,43,0.16,E305,True
M009,Milling,952,24,5.5,34,0.14,E501,False
M004,Router,2991,26,7.8,39,0.18,E101,False
M005,Milling,1300,26,7.7,14,0.2,E404,True
M003,Router,1723,27,4.7,37,0.1,E305,True
M010,Grinder,1346,25,6.5,45,0.11,E501,False
M009,Lathe,1353,26,8.1,49,0.17,E202,True
M005,Grinder,1845,22,8.7,50,0.1,E101,True
M003,Grinder,2256,27,8.1,5,0.22,E101,True
M007,Milling,1265,29,6.4,27,0.19,E404,False
M009,Lathe,1233,26,9.0,4,0.09,E404,False
M005,Router,2020,23,8.6,8,0.21,E305,False
M004,Router,2233,23,3.8,60,0.22,E404,False
M008,Router,2394,30,8.6,23,0.14,E501,True
M006,Router,813,22,4.5,20,0.12,E404,False
M010,Grinder,3093,31,7.5,25,0.13,E501,False
M007,Grinder,3186,23,8.6,1,0.05,E501,True
M008,Router,1185,28,5.2,40,0.2,E404,True
M010,Milling,3059,23,4.5,49,0.1,E202,True
M006,Milling,1174,23,6.3,53,0.17,E501,True
M003,Lathe,1906,31,7.9,41,0.19,E202,True
M003,Lathe,1383,23,5.0,22,0.1,E404,True
M003,Router,855,25,9.0,44,0.22,E202,True
M006,Milling,3015,28,4.1,46,0.15,E501,True
M003,Grinder,959,29,4.4,12,0.21,E404,True
M006,Grinder,2814,24,4.8,40,0.19,E305,False
M003,Grinder,2616,28,8.1,6,0.18,E101,True
M006,Grinder,3185,23,8.9,59,0.14,E305,False
M009,Lathe,2147,24,5.1,13,0.07,E101,True
M001,Router,1977,29,6.5,26,0.16,E202,True
M005,Grinder,2588,25,6.2,22,0.15,E305,True
M001,Router,1798,23,5.5,42,0.08,E501,True
M003,Router,1677,27,5.9,1,0.18,E404,False
M007,Grinder,1028,23,4.9,25,0.08,E404,True
M004,Router,2234,29,5.5,1,0.07,E404,True
M004,Lathe,2376,24,9.1,26,0.08,E202,False
M009,Milling,1587,27,6.4,58,0.22,E202,True
M008,Router,2212,24,6.3,2,0.19,E501,False
M002,Lathe,1864,30,3.9,18,0.15,E101,True
M007,Milling,1337,26,4.6,59,0.15,E305,False
M003,Lathe,1474,26,6.9,54,0.11,E501,True
M005,Lathe,1988,26,7.8,6,0.11,E202,True
M006,Milling,2761,22,7.5,55,0.2,E305,False
M001,Lathe,1144,25,7.4,29,0.16,E404,False
M004,Router,884,23,8.2,30,0.15,E101,True
M006,Milling,2103,27,7.2,58,0.19,E202,False
M006,Milling,1393,28,6.7,16,0.2,E305,False
M005,Grinder,1559,22,3.6,41,0.1,E404,True
M003,Milling,858,23,6.3,16,0.11,E501,True
M005,Router,2989,25,5.8,42,0.11,E202,False
M010,Lathe,1109,28,4.9,38,0.2,E101,False
M004,Milling,1169,23,5.1,24,0.05,E202,True
M002,Milling,1760,25,3.6,21,0.18,E101,False
M006,Grinder,2202,30,6.0,36,0.07,E202,False
M006,Milling,2970,27,6.6,15,0.12,E404,True
M002,Router,1857,25,5.4,43,0.06,E202,False
M003,Router,2904,23,4.7,3,0.12,E501,False
M001,Milling,1550,26,3.5,41,0.2,E404,True
M008,Router,1668,25,3.6,4,0.08,E501,False
M009,Router,2623,28,4.7,5,0.13,E305,False
M002,Grinder,1527,28,3.8,38,0.18,E101,False
M007,Grinder,3014,23,6.1,47,0.16,E404,False
M008,Lathe,974,28,4.5,0,0.18,E305,True
M010,Lathe,3085,25,4.9,2,0.09,E501,False
M009,Grinder,1291,22,8.3,49,0.14,E501,False
M003,Grinder,2232,26,6.2,15,0.17,E501,True
M010,Router,1578,22,9.0,50,0.08,E101,False
M001,Router,1792,25,6.6,9,0.17,E305,False
M007,Lathe,2235,23,6.3,8,0.17,E305,False
M001,Milling,3112,26,9.0,51,0.17,E305,True
M010,Milling,2997,31,5.8,42,0.08,E501,True
M009,Grinder,3109,23,6.2,5,0.19,E305,False
M007,Router,2975,26,4.6,11,0.09,E305,False
M006,Router,1241,30,4.4,47,0.22,E101,False
M006,Milling,1712,29,4.4,55,0.11,E202,False
M002,Milling,2441,27,5.3,7,0.12,E202,False
M010,Router,2831,31,8.3,0,0.1,E101,False
M003,Lathe,1367,25,6.4,10,0.13,E202,False
M007,Grinder,2877,22,6.2,38,0.12,E202,True
M002,Lathe,1553,25,4.2,3,0.1,E501,True
M007,Router,2009,27,7.5,21,0.17,E101,False
M010,Lathe,1492,27,5.7,33,0.1,E202,False
M005,Milling,2350,23,6.1,35,0.11,E101,True
M002,Grinder,2929,22,4.9,33,0.14,E404,False
M010,Lathe,2214,31,6.4,5,0.06,E404,True
M003,Router,2591,31,3.5,12,0.12,E501,True
M010,Router,2610,27,4.1,41,0.19,E501,True
M010,Milling,897,22,6.4,52,0.21,E101,True
M008,Grinder,3075,24,6.5,40,0.15,E101,False
M001,Grinder,1539,27,4.6,35,0.15,E101,True
M002,Router,1790,29,6.3,47,0.17,E404,False
M008,Router,2678,30,9.1,3,0.07,E202,False
M009,Milling,1441,28,5.2,52,0.07,E305,False
M001,Grinder,2093,30,6.1,55,0.12,E202,True
M007,Lathe,2698,31,4.2,25,0.1,E101,True
M010,Grinder,2084,25,9.0,54,0.1,E404,True
M006,Milling,1007,26,4.6,9,0.12,E305,True
M001,Milling,1123,31,4.7,42,0.1,E501,False
M003,Lathe,2107,26,6.8,50,0.15,E202,False
M008,Grinder,1356,29,8.2,45,0.2,E101,False
M008,Grinder,2526,27,9.0,28,0.07,E501,True
M007,Milling,3003,24,6.5,53,0.19,E101,True
M002,Grinder,1979,27,6.8,18,0.2,E101,True
M006,Lathe,2478,25,5.4,10,0.12,E404,False
M009,Router,2647,24,6.4,42,0.1,E501,True
M009,Grinder,1483,29,6.8,28,0.06,E404,False
M007,Milling,1606,27,4.4,58,0.2,E501,False
M009,Lathe,2633,29,4.3,16,0.1,E202,False
M006,Router,1700,23,4.7,37,0.05,E501,False
M008,Router,2441,25,8.6,3,0.18,E501,False
M010,Milling,1973,28,4.9,38,0.21,E305,False
M002,Lathe,1980,22,3.6,9,0.13,E501,True
M005,Router,2980,24,7.8,48,0.11,E501,True
M008,Lathe,1502,25,8.3,18,0.17,E501,True
M002,Lathe,852,31,9.1,53,0.05,E305,True
M001,Milling,3010,30,7.4,14,0.1,E404,False
M001,Router,1039,30,6.6,19,0.2,E305,False
M005,Grinder,2513,30,3.7,33,0.1,E404,True
M010,Grinder,2666,26,7.2,30,0.15,E501,True
M009,Milling,3170,29,5.1,41,0.08,E101,False
M006,Milling,1060,25,3.8,2,0.22,E101,False
M005,Router,2414,31,6.2,44,0.05,E404,False
M008,Milling,2208,29,6.7,34,0.15,E202,False
M002,Milling,1153,25,7.8,24,0.21,E101,False
M010,Milling,2725,29,5.5,59,0.17,E202,True
M002,Grinder,2903,24,6.9,13,0.15,E305,True
M001,Milling,2075,27,4.9,30,0.1,E202,True
M004,Router,1822,24,3.6,15,0.15,E305,True
M010,Router,2297,31,6.6,12,0.18,E305,True
M007,Lathe,1591,26,6.2,27,0.22,E404,False
M003,Router,2485,30,9.0,59,0.08,E101,False
M001,Router,2227,28,6.6,19,0.21,E404,False
M010,Milling,838,25,6.4,9,0.12,E101,False
M001,Grinder,1657,29,5.7,53,0.22,E501,True
M009,Lathe,2210,26,9.0,17,0.19,E202,False
M005,Milling,1156,28,7.4,7,0.2,E101,True
M001,Milling,2885,25,6.3,44,0.1,E501,True
M006,Grinder,2176,26,5.2,39,0.16,E305,False
M001,Lathe,1885,26,8.8,0,0.1,E305,False
M008,Router,2675,23,3.9,56,0.15,E501,False
M003,Milling,1940,23,6.9,6,0.06,E305,True
M003,Router,2141,24,8.6,52,0.1,E501,False
M010,Milling,1812,26,4.1,43,0.11,E501,False
M007,Router,2318,24,6.9,43,0.13,E404,False
M010,Grinder,2735,23,9.1,23,0.08,E501,True
M003,Grinder,2085,25,5.7,20,0.19,E404,False
M003,Router,2601,24,4.3,45,0.18,E202,True
M008,Router,972,23,7.9,18,0.1,E404,False
M004,Lathe,1959,24,6.1,47,0.19,E202,True
M008,Grinder,1304,27,7.7,39,0.11,E202,True
M008,Milling,989,30,6.9,4,0.07,E501,False
M010,Lathe,2751,30,9.0,49,0.21,E501,False
M002,Lathe,2400,30,4.7,48,0.19,E404,True
M004,Milling,2413,29,9.0,35,0.06,E305,True
M010,Milling,1706,22,3.9,40,0.18,E101,True
M001,Lathe,2883,22,5.4,35,0.14,E501,False
M006,Grinder,1744,28,6.4,13,0.14,E501,True
M010,Router,1211,23,8.9,9,0.1,E305,True
M007,Lathe,1084,22,7.2,60,0.19,E202,True
M008,Grinder,3096,22,8.0,35,0.11,E404,False
M003,Grinder,1699,29,8.0,37,0.19,E101,False
M001,Lathe,3129,28,4.4,13,0.17,E501,False
M008,Router,949,28,8.0,51,0.1,E101,True
M005,Lathe,1976,31,4.9,15,0.2,E202,False
M010,Milling,1516,30,7.8,44,0.16,E501,False
M007,Lathe,2210,27,6.8,9,0.07,E101,True
M007,Lathe,2515,24,6.3,59,0.22,E501,False
M004,Milling,2406,28,5.2,42,0.19,E501,True
M005,Router,1018,25,4.0,39,0.15,E501,True
M008,Lathe,1279,25,8.0,13,0.22,E404,True
M008,Milling,2670,23,7.4,37,0.1,E202,True
M008,Router,3196,27,8.6,50,0.17,E202,False
M003,Router,2354,28,4.4,18,0.07,E501,True
M007,Router,3030,22,7.9,27,0.15,E305,False
M001,Grinder,1900,29,5.9,19,0.12,E305,True
M005,Milling,2768,28,7.5,12,0.09,E101,False
M005,Milling,2509,31,5.5,10,0.15,E501,False
M006,Grinder,1531,22,5.0,24,0.11,E202,False
M002,Router,2455,27,6.2,31,0.13,E101,False
M002,Grinder,2541,25,7.5,4,0.06,E202,True
M004,Router,2095,29,5.0,36,0.2,E404,True
M003,Milling,2481,30,5.8,6,0.18,E101,False
M001,Router,2392,22,4.8,3,0.12,E305,False
M008,Grinder,2606,24,3.9,54,0.2,E305,False
M006,Milling,2554,26,6.6,41,0.15,E305,True
M003,Lathe,2252,26,5.1,9,0.21,E501,True
M009,Milling,2462,27,7.7,23,0.2,E501,True
M008,Router,1342,26,5.0,9,0.05,E404,True
M007,Grinder,2101,26,5.0,27,0.21,E501,True
M004,Router,1844,28,7.1,18,0.15,E101,True
M007,Lathe,892,28,7.9,36,0.07,E305,True
M010,Lathe,1760,29,6.1,50,0.07,E202,False
M004,Lathe,2038,24,6.2,21,0.18,E404,True
M010,Milling,3009,30,6.5,31,0.07,E404,False
M009,Grinder,2169,24,8.4,28,0.18,E305,True
M004,Lathe,3088,30,8.1,48,0.13,E404,False
M007,Grinder,1002,30,4.3,58,0.18,E202,True
M009,Lathe,2538,22,7.4,27,0.06,E404,True
M005,Grinder,1985,23,8.5,44,0.18,E404,True
M007,Lathe,3005,25,3.6,45,0.14,E305,True
M003,Grinder,2380,23,4.7,8,0.14,E202,True
M001,Lathe,1136,30,6.1,31,0.13,E305,True
M003,Router,2199,28,8.0,1,0.19,E101,True
M010,Milling,1969,25,6.2,15,0.12,E101,True
M008,Milling,1678,31,6.0,56,0.07,E202,False
M004,Grinder,2095,22,5.8,54,0.09,E404,True
M005,Router,1983,30,5.5,58,0.13,E202,False
M009,Lathe,2270,27,5.2,47,0.06,E305,True
M003,Router,1395,24,5.3,23,0.08,E202,False
M004,Grinder,1792,28,4.0,54,0.17,E202,False
M001,Milling,962,31,3.7,9,0.1,E404,True
M004,Milling,3064,22,8.8,5,0.19,E202,False
M003,Milling,2220,25,7.0,22,0.05,E101,True
M006,Router,2444,24,9.0,30,0.16,E305,True
M010,Lathe,3104,22,8.8,24,0.12,E501,True
M004,Grinder,2017,22,3.8,23,0.07,E101,False
M010,Grinder,1671,23,4.3,60,0.19,E202,False
M008,Milling,911,29,4.1,15,0.19,E202,False
M007,Grinder,889,24,5.2,27,0.17,E202,False
M005,Milling,812,23,8.4,16,0.22,E202,True
M001,Lathe,2068,31,6.9,40,0.1,E305,False
M007,Grinder,2204,23,6.4,60,0.13,E501,False
M001,Milling,1308,23,8.8,20,0.06,E404,False
M005,Milling,2336,22,7.8,24,0.17,E404,False
M004,Grinder,2736,25,3.5,7,0.19,E305,False
M004,Lathe,1472,29,8.1,45,0.05,E101,True
M001,Lathe,1692,23,6.3,23,0.06,E305,False
M004,Lathe,2012,28,6.8,22,0.1,E305,True
M004,Lathe,1683,28,5.1,13,0.19,E202,False
M008,Grinder,3123,31,6.4,7,0.1,E404,True
M001,Grinder,2834,22,3.5,16,0.07,E101,True
M001,Router,2632,23,5.6,9,0.19,E501,False
M004,Router,1701,26,5.1,15,0.05,E101,True
M001,Grinder,3031,31,8.9,34,0.14,E202,False
M007,Router,1452,29,4.4,15,0.14,E305,True
M001,Lathe,1715,28,6.1,40,0.13,E202,True
M009,Router,2122,28,6.6,32,0.13,E202,True
M009,Lathe,2481,28,4.8,17,0.15,E501,False
M001,Lathe,1542,25,7.2,7,0.16,E202,True
M001,Milling,986,22,6.6,13,0.14,E501,True
M002,Milling,2719,22,7.9,1,0.17,E501,True
M010,Milling,1926,23,8.5,15,0.14,E501,False
M004,Lathe,2308,30,5.5,53,0.12,E501,False
M003,Lathe,1582,27,4.2,23,0.11,E501,False
M007,Grinder,2395,27,4.0,7,0.06,E404,True
M010,Milling,1361,24,7.6,27,0.17,E404,False
M007,Grinder,2654,30,7.2,42,0.14,E101,True
M001,Router,2766,25,9.2,8,0.13,E501,True
M008,Lathe,1577,28,8.4,49,0.16,E305,True
M005,Lathe,1083,27,6.1,38,0.07,E305,True
M005,Router,1291,23,6.7,40,0.2,E501,False
M010,Grinder,898,29,5.3,37,0.1,E305,True
M001,Milling,1941,22,5.6,4,0.05,E101,False
M008,Router,1664,22,4.3,26,0.14,E305,True
M006,Lathe,1005,25,8.8,13,0.11,E501,False
M002,Router,2587,24,6.6,35,0.12,E501,False
M010,Lathe,2912,27,4.2,55,0.08,E501,True
M004,Lathe,1788,29,4.8,56,0.08,E501,True
M009,Grinder,2574,29,4.6,6,0.09,E101,True
M002,Grinder,1057,25,5.5,16,0.09,E101,False
M006,Router,2949,28,5.9,43,0.2,E202,False
M007,Grinder,2325,23,8.1,41,0.13,E305,True
M007,Lathe,1048,28,7.8,24,0.15,E202,True
M010,Milling,2095,31,4.7,36,0.15,E101,True
M006,Milling,2462,31,4.4,38,0.12,E305,True
M006,Router,1337,29,8.9,28,0.13,E404,False
M004,Grinder,2051,22,6.2,55,0.13,E305,False
M004,Milling,1230,29,8.2,47,0.12,E202,True
M008,Milling,1752,29,6.8,56,0.22,E501,False
M010,Router,2729,31,7.1,49,0.1,E101,False
M010,Grinder,3082,23,4.8,7,0.12,E101,False
M007,Milling,2237,28,3.6,38,0.12,E501,True
M005,Lathe,842,26,5.2,9,0.2,E305,False
M006,Lathe,2085,30,4.2,14,0.06,E101,True
M001,Grinder,1574,26,4.1,22,0.12,E101,False
M001,Router,2027,28,5.8,28,0.17,E101,False
M003,Milling,2632,28,3.8,18,0.16,E202,True
M006,Router,2542,22,5.6,28,0.13,E101,False
M009,Grinder,2387,28,6.9,51,0.11,E202,False
M005,Grinder,1014,30,7.8,43,0.14,E501,False
M005,Router,2472,22,5.5,8,0.11,E501,True
M002,Grinder,2544,24,5.7,49,0.22,E202,True
M009,Lathe,2370,30,4.3,27,0.15,E202,True
M006,Router,2928,27,5.8,8,0.22,E501,False
M008,Lathe,1725,27,3.7,47,0.18,E202,True
M008,Router,2302,22,7.4,33,0.08,E404,False
M010,Grinder,2852,24,5.8,5,0.06,E101,False
M005,Router,1444,29,5.5,12,0.19,E501,False
M003,Milling,2490,24,3.5,51,0.18,E101,False
M010,Lathe,1594,31,8.3,49,0.19,E305,False
M002,Lathe,1851,27,4.6,55,0.11,E202,False
M007,Grinder,3013,25,6.2,28,0.17,E404,False
M003,Lathe,1370,26,5.4,24,0.19,E202,True
M009,Lathe,2878,24,6.2,31,0.14,E305,True
M006,Router,2108,28,7.6,39,0.21,E101,True
M010,Milling,964,28,8.8,33,0.17,E305,False
M004,Lathe,2199,29,5.6,59,0.06,E202,False
M009,Lathe,2137,31,7.3,9,0.17,E501,False
M001,Router,2947,24,4.2,46,0.16,E501,True
M004,Lathe,2374,23,8.8,52,0.17,E305,True
M003,Grinder,1615,30,8.3,6,0.2,E501,True
M004,Milling,1735,24,4.0,38,0.11,E202,True
M008,Grinder,2374,31,7.5,42,0.1,E202,True
M001,Router,3065,24,8.9,4,0.19,E202,False
M004,Milling,2039,28,8.4,24,0.18,E305,False
M010,Grinder,1744,29,3.6,44,0.18,E404,True
M006,Milling,955,25,4.2,54,0.15,E404,True
M005,Milling,1517,23,7.2,47,0.13,E305,True
M003,Lathe,2041,23,6.2,21,0.2,E501,False
M006,Milling,2329,24,8.8,39,0.15,E404,True
M006,Milling,1895,31,4.3,44,0.12,E501,False
M003,Lathe,2084,28,5.2,21,0.15,E501,True
M004,Lathe,2553,27,8.3,10,0.07,E404,True
M004,Router,3017,24,6.1,35,0.16,E305,False
M007,Router,1846,30,6.8,47,0.06,E101,True
M005,Router,2494,26,6.8,26,0.17,E101,True
M001,Lathe,2980,31,8.2,39,0.06,E501,True
M005,Lathe,2358,26,6.9,57,0.17,E202,True
M005,Grinder,1024,25,4.3,36,0.09,E202,False
M004,Grinder,2335,26,5.1,37,0.07,E501,True
M003,Milling,825,26,7.1,22,0.07,E501,True
M008,Milling,1608,22,5.8,59,0.08,E501,False
M005,Grinder,2396,22,5.5,13,0.15,E101,False
M002,Lathe,1345,30,4.6,38,0.2,E501,True
M002,Grinder,1790,27,3.8,24,0.09,E404,False
M001,Milling,837,31,7.9,2,0.18,E202,True
M010,Lathe,2642,30,4.8,29,0.13,E305,False
M003,Milling,2228,23,7.3,34,0.19,E202,True
M008,Router,899,23,6.7,32,0.12,E501,False
M002,Grinder,1946,23,8.9,39,0.17,E305,False
M007,Grinder,3067,24,3.7,57,0.12,E501,True
M002,Lathe,2809,31,8.8,9,0.17,E101,False
M010,Lathe,867,26,6.7,60,0.09,E305,True
M010,Lathe,2694,24,6.0,31,0.13,E101,True
M002,Milling,1457,29,4.0,26,0.05,E202,True
M009,Milling,1764,27,3.6,24,0.22,E202,True
M004,Lathe,2440,23,5.5,12,0.22,E202,True
M007,Router,2570,28,6.1,19,0.2,E202,False
M009,Grinder,2189,22,4.9,30,0.18,E202,False
M001,Lathe,3147,29,7.9,1,0.2,E305,True
M002,Router,2872,31,5.8,7,0.16,E202,False
M007,Lathe,3007,31,3.9,36,0.15,E101,False
M002,Grinder,2339,22,4.1,11,0.11,E404,False
M007,Lathe,2654,23,8.5,55,0.06,E202,True
M003,Grinder,1595,22,8.9,47,0.18,E404,False
M002,Router,1399,31,6.2,52,0.12,E404,True
M006,Lathe,1924,31,8.2,50,0.18,E305,False
M005,Grinder,1197,26,3.9,59,0.15,E101,True
M003,Router,2549,23,9.0,32,0.13,E101,False
M010,Grinder,3099,25,7.9,29,0.08,E101,True
M004,Grinder,3200,25,6.9,34,0.06,E404,True
M003,Lathe,2745,27,8.7,12,0.08,E305,True
M009,Lathe,3017,25,6.9,38,0.14,E202,False
M008,Router,2342,31,9.0,40,0.08,E101,True
M002,Milling,1723,31,9.1,17,0.16,E404,True
M002,Lathe,3187,28,6.3,52,0.21,E404,True
M004,Lathe,2328,30,8.5,12,0.15,E501,True
M005,Router,3145,24,4.5,4,0.17,E501,False
M004,Lathe,2446,24,4.0,32,0.12,E202,False
M010,Lathe,1657,25,7.8,1,0.12,E101,True
M008,Router,834,26,4.4,33,0.09,E202,True
M005,Lathe,2021,26,7.5,8,0.19,E101,False
M010,Lathe,1450,30,9.0,7,0.13,E202,False
M004,Milling,2050,24,5.5,26,0.07,E404,True
M006,Grinder,1181,22,6.3,15,0.11,E501,True
M010,Milling,1438,26,4.7,5,0.15,E305,False
M008,Milling,2161,25,6.0,37,0.22,E404,False
M008,Router,2885,26,5.0,15,0.2,E101,True
M001,Router,1539,27,5.3,39,0.11,E404,True
M002,Milling,1255,27,7.8,60,0.12,E101,True
M010,Milling,2632,27,5.7,11,0.16,E305,True
M002,Lathe,2573,27,7.9,46,0.13,E202,True
M001,Milling,1603,31,6.6,6,0.05,E101,True
M010,Milling,1429,23,8.8,28,0.07,E305,True
M008,Lathe,1979,23,7.7,17,0.19,E305,True
M009,Lathe,2949,22,8.8,53,0.13,E305,False
